,id,name,artists,artist_name,album,album_name,release_date,explicit,popularity,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
450,2SCblOXQDX2ToK7JvqCksw,Couldn't Believe,['5r5Va4lVQ1zjEfbJSrmCsS'],['BROODS'],61RfrwKu6wJmaZYh3xt0mF,Conscious,2016-06-24,False,38.0,"Couldn't Believe|C,o,n,s,c,i,o,u,s|BROODS",0.592,0.873,5.0,-4.355,1.0,0.0304,0.0105,0.00484,0.073,0.294,114.009,4.0,244400.0
451,2SJf7W18D1AEpr8L9ATu0c,Yesterday,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],33pt9HBdGlAbRGBHQgsZsU,Evolve,2017-06-23,False,59.0,"Yesterday|E,v,o,l,v,e|Imagine Dragons",0.569,0.645,4.0,-6.169,1.0,0.0513,0.253,0.0,0.413,0.54,156.031,3.0,205114.0
452,2SLxgJ2YFohfd8KwuJZTUE,Better Days,['5Pwc4xIPtQLFEnJriah9YJ'],['OneRepublic'],0SrskI3mHcu5MzKeZNv2f6,Human (Deluxe),2021-08-27,False,58.0,"Better Days|H,u,m,a,n, ,(,D,e,l,u,x,e,)|OneRepublic",0.618,0.725,5.0,-4.952,1.0,0.0479,0.255,0.0,0.424,0.242,88.982,4.0,144546.0
453,2SXzEHDE4iyKEbHQgkFqNR,To Belong,['5r5Va4lVQ1zjEfbJSrmCsS'],['BROODS'],3KzbSN2H2bqf9b8NKiCIL0,Don't Feed The Pop Monster,2019-02-01,False,25.0,"To Belong|D,o,n,',t, ,F,e,e,d, ,T,h,e, ,P,o,p, ,M,o,n,s,t,e,r|BROODS",0.457,0.489,4.0,-8.022,0.0,0.0565,0.399,0.0716,0.0763,0.206,111.345,4.0,346800.0
454,2SrJ0Iw6GobiRGyh2XKZhV,Say Something,['26AHtbjWKiwYzsoGoUZq53'],['Pentatonix'],77RBn8pRsfXlZdfTQh221D,PTX,2014-09-19,False,55.0,"Say Something|P,T,X|Pentatonix",0.249,0.248,7.0,-8.976,1.0,0.0333,0.71,0.0,0.093,0.0812,150.318,3.0,271867.0
455,2T7enoAJwu41FzmL1SyGFL,Risk,"['2FwDTncULUnmANIh7qKa5z', '70gP6Ry4Uo0Yx6uzPIdaiJ']","['FKJ', 'Bas']",0A13mnL2iaAoke3GXWsvB1,Ylang Ylang EP,2019-11-12,False,58.0,"Risk|Y,l,a,n,g, ,Y,l,a,n,g, ,E,P|FKJ,Bas",0.761,0.359,7.0,-12.326,1.0,0.0703,0.957,0.000143,0.147,0.505,103.069,4.0,238835.0
456,2TNjqinC9bSWe6eYdGPQKS,She Ain't Me,['31EncJhuSBcAIsZGA3G1GK'],['The Vassar Devils'],6TbhEk5dYnvkr5jcBPbasF,Words Unsaid,2021-06-12,False,5.0,"She Ain't Me|W,o,r,d,s, ,U,n,s,a,i,d|The Vassar Devils",0.509,0.588,11.0,-7.312,0.0,0.0296,0.0504,0.0,0.101,0.459,90.035,4.0,199843.0
457,2ThzCmB4XAQs1IKn7YCQuJ,Fountainhead,['5yn8jrJH5Z5PaGFStNUvgR'],['The Omnific'],188WgRHkVrDZKdu0MqSQSw,Fountainhead,2021-09-23,False,33.0,"Fountainhead|F,o,u,n,t,a,i,n,h,e,a,d|The Omnific",0.454,0.922,7.0,-7.367,1.0,0.0313,0.00279,0.926,0.121,0.546,140.014,4.0,221080.0
458,2TpZlmChocrfeL5J6ed70t,Kingdom Come,['50JJSqHUf2RQ9xsHs0KMHg'],['Jon Bellion'],0Qfwzu4yfzVUIrBLittdDO,The Separation,2013-12-10,False,56.0,"Kingdom Come|T,h,e, ,S,e,p,a,r,a,t,i,o,n|Jon Bellion",0.911,0.587,0.0,-5.351,1.0,0.247,0.0882,2.22e-06,0.149,0.743,96.959,4.0,139867.0
459,2TwOHThl3lelILYtBdTi5o,Made Up,['0eZipjUat1rbp08ICpxU3S'],['Roman Kouder'],3kKtyGyYjIyUWQn45MzALX,YOUTH,2019-03-22,False,19.0,"Made Up|Y,O,U,T,H|Roman Kouder",0.808,0.458,1.0,-9.45,0.0,0.136,0.116,0.0108,0.19,0.759,124.048,4.0,264194.0
460,2UbVnbE5FH6008mAm6Mmgw,Run,['5Pwc4xIPtQLFEnJriah9YJ'],['OneRepublic'],4d0a5uamW9NWRc1KXFeErI,Run,2021-05-05,False,82.0,"Run|R,u,n|OneRepublic",0.682,0.72,11.0,-8.173,0.0,0.0381,0.326,0.0,0.148,0.673,117.003,4.0,169011.0
461,2UxnZEvavlFv9dTbfrkNnd,Loca,['2urF8dgLVfDjunO0pcHUEe'],['Alvaro Soler'],0kiF24a9Q6JiKClWPi2GQK,Loca,2019-01-25,False,54.0,"Loca|L,o,c,a|Alvaro Soler",0.794,0.579,5.0,-8.064,0.0,0.0432,0.0347,0.0,0.125,0.519,113.034,4.0,191129.0
462,2V1jR8mxrYCD9nXaem1tMz,Come Hang Out,['6s22t5Y3prQHyaHWUN1R1C'],['AJR'],6hpiZXzsZxlkTXY8zavu3N,The Click,2017-06-09,False,51.0,"Come Hang Out|T,h,e, ,C,l,i,c,k|AJR",0.611,0.684,7.0,-6.485,0.0,0.0607,0.00387,0.0,0.047,0.43,91.072,4.0,266256.0
463,2V6L9W2PiM0atkaVL0xMiW,Nothing,['31EncJhuSBcAIsZGA3G1GK'],['The Vassar Devils'],3m0n7krXQmpKTjPAv43jeD,Coming Alive,2017-05-20,False,9.0,"Nothing|C,o,m,i,n,g, ,A,l,i,v,e|The Vassar Devils",0.252,0.612,3.0,-3.882,0.0,0.051,0.439,0.0,0.175,0.243,76.908,4.0,186909.0
464,2VgQLPaAPaJRIXeL0FIW2q,The Fall,['7sOR7gk6XUlGnxj3p9F54k'],['half•alive'],6Ae06PksOpCGPcqqwKTF5n,3,2017-04-24,False,65.0,The Fall|3|half•alive,0.656,0.741,0.0,-6.135,1.0,0.0505,0.0307,0.000147,0.0709,0.549,82.988,4.0,186946.0
465,2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,['6qqNVTkY8uBg9cP3Jd7DAH'],['Billie Eilish'],74TRp3O8BRdGxc0XO0UzoY,Six Feet Under,2016-11-17,False,76.0,"Six Feet Under|S,i,x, ,F,e,e,t, ,U,n,d,e,r|Billie Eilish",0.576,0.307,11.0,-12.732,0.0,0.0428,0.807,0.000355,0.0792,0.157,67.513,4.0,189613.0
466,2WWP0IPX9xFjAMraNHX390,Twin Skeleton's (Hotel In NYC),['4UXqAaa6dQYAk18Lv7PEgX'],['Fall Out Boy'],022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,2015-01-20,False,56.0,"Twin Skeleton's (Hotel In NYC)|A,m,e,r,i,c,a,n, ,B,e,a,u,t,y,/,A,m,e,r,i,c,a,n, ,P,s,y,c,h,o|Fall Out Boy",0.451,0.939,2.0,-2.546,0.0,0.116,0.00219,0.00223,0.366,0.192,80.098,4.0,220413.0
467,2Xaw1RrXP3mdooKWysuRJ8,Monster,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],6ecx4OFG0nlUMqAi9OXQER,Smoke + Mirrors (Deluxe),2015-10-30,False,61.0,"Monster|S,m,o,k,e, ,+, ,M,i,r,r,o,r,s, ,(,D,e,l,u,x,e,)|Imagine Dragons",0.472,0.774,3.0,-5.383,1.0,0.0824,0.167,0.000278,0.132,0.443,179.942,4.0,249493.0
468,2XlYhPJ3EJ8afROY5okHzR,"Wow, I'm Not Crazy",['6s22t5Y3prQHyaHWUN1R1C'],['AJR'],29Xikj6r9kQDSbnZWCCW2s,Neotheater,2019-04-26,False,46.0,"Wow, I'm Not Crazy|N,e,o,t,h,e,a,t,e,r|AJR",0.284,0.609,3.0,-6.033,1.0,0.123,0.0438,0.0,0.177,0.521,85.386,4.0,196763.0
469,2XxV4ryxBQAxLv00rBAiYN,Cycle,['30DhU7BDmF4PH0JVhu8ZRg'],['Sabrina Claudio'],7bcgkKns2rxVhrmw9EAmrs,"No Rain, No Flowers",2018-08-15,False,38.0,"Cycle|N,o, ,R,a,i,n,,, ,N,o, ,F,l,o,w,e,r,s|Sabrina Claudio",0.548,0.466,6.0,-4.39,1.0,0.0318,0.373,0.00131,0.12,0.133,100.167,4.0,248769.0
470,2XydfLDdRptCwF1nRoMq1O,Universal Biology,['55nybOKXKVBjQ6v3c1pAWg'],['Jon Gomm'],0HY3IyHQQKBzsLpAP9QjFb,The Faintest Idea,2020-10-16,False,19.0,"Universal Biology|T,h,e, ,F,a,i,n,t,e,s,t, ,I,d,e,a|Jon Gomm",0.446,0.395,4.0,-14.238,0.0,0.0325,0.785,0.358,0.1,0.152,111.991,5.0,412600.0
471,2YEKwGI6OERAt9yPc6ELl8,Down With the Darkside,['19lQ2rJLlP71FOKESiMNJT'],['Ripe'],2AWk4Vwrxfr0Ueso81gVLy,Produce the Juice,2013-05-04,False,29.0,"Down With the Darkside|P,r,o,d,u,c,e, ,t,h,e, ,J,u,i,c,e|Ripe",0.746,0.74,9.0,-6.21,1.0,0.109,0.268,0.0,0.277,0.586,127.097,4.0,230895.0
